timestamp,start_latitude,start_longitude,end_latitude,end_longitude,current_speed_kmh,free_flow_speed_kmh,current_travel_time_seconds,free_flow_travel_time_seconds,traffic_confidence,travel_time_seconds,distance_meters,traffic_delay_seconds,incident_type,weather_condition,road_type,poi_category,traffic_level
2025-05-06T20:32:07.865370,38.219381995849375,-85.81308669316407,38.29379155739736,-85.79450950438157,47,59,138,110,1.0,959,13042,0,none,snow,arterial,none,moderate
2025-05-06T20:32:10.612685,38.3167340583428,-85.72434152538132,38.13022778074445,-85.65305491172654,57,57,138,138,1.0,1742,35816,0,none,rain,local,none,low
2025-05-06T20:32:13.369735,38.29715008828278,-85.61304207941122,38.31600036344125,-85.76288064061809,111,111,215,215,1.0,1287,22608,0,none,fog,local,none,low
2025-05-06T20:32:16.201912,38.26391747969825,-85.80489441204341,38.15568049789837,-85.65427490169233,106,106,213,213,1.0,1444,28084,0,none,clear,arterial,none,low
2025-05-06T20:32:19.079321,38.24621498236368,-85.72633573670917,38.24873033827144,-85.65974626442586,38,38,65,65,1.0,618,6733,0,none,clear,highway,none,low
2025-05-06T20:32:22.184410,38.12809752188216,-85.55390806069431,38.294397303192994,-85.64318599735046,119,119,105,105,1.0,1661,32362,0,none,rain,arterial,none,low
2025-05-06T20:32:24.984717,38.18742901510003,-85.50920979976961,38.16182643271911,-85.81958124926257,114,114,123,123,1.0,1682,36010,0,none,fog,highway,none,low
2025-05-06T20:32:28.096493,38.30964726586418,-85.71864881748625,38.13033234359993,-85.80917949141588,57,57,138,138,1.0,1825,37278,0,none,fog,arterial,none,low
2025-05-06T20:32:30.674133,38.13162062367923,-85.69021387699947,38.143993140701554,-85.76287327342564,44,55,176,140,1.0,726,8631,0,none,fog,highway,none,moderate
2025-05-06T20:32:33.299817,38.12300204610395,-85.7708852666525,38.168848664898015,-85.78209313811637,64,64,135,135,1.0,547,5850,0,none,clear,local,none,low
2025-05-06T20:32:36.360068,38.22768139077719,-85.60199820130445,38.22247429978348,-85.59148001781064,108,108,123,123,1.0,428,2879,0,none,clear,highway,none,low
2025-05-06T20:32:39.574419,38.25070195437692,-85.86138625393272,38.2054635495025,-85.75230238625724,88,88,302,302,1.0,1232,22116,0,none,clear,arterial,none,low
2025-05-06T20:32:42.573182,38.331798482804345,-85.68307700678375,38.26815113384528,-85.56382716351496,114,114,144,144,1.0,1224,20985,0,none,rain,arterial,none,low
2025-05-06T20:32:45.438079,38.15977716537662,-85.86940791641607,38.3485295006817,-85.72006604115099,61,61,136,136,1.0,1817,34324,0,none,rain,arterial,none,low
2025-05-06T20:32:48.583034,38.28705116572876,-85.61553913433055,38.1420848253419,-85.79745552610498,54,54,400,400,1.0,1943,30583,0,none,rain,local,none,low
2025-05-06T20:32:51.565917,38.1699192376811,-85.89648956455818,38.194030200836025,-85.80925344890817,51,59,363,314,0.814677,727,9586,0,none,clear,highway,none,moderate
2025-05-06T20:32:54.184277,38.28128789264345,-85.74188217747886,38.31948608157207,-85.5735066817296,49,49,72,72,1.0,1136,22659,97,none,snow,highway,none,low
2025-05-06T20:32:56.806033,38.34729390252587,-85.5481532289157,38.25560084541336,-85.75410978800093,117,117,237,237,1.0,1624,25328,0,none,snow,local,none,low
2025-05-06T20:32:59.576883,38.27143407749013,-85.61416807148639,38.34144012053213,-85.82447917654109,72,72,215,215,1.0,1272,31347,0,none,rain,highway,none,low
2025-05-06T20:33:03.478317,38.3039615294126,-85.65589125482914,38.20510575723373,-85.8617241007636,57,64,201,179,0.782361,1775,35769,0,none,clear,local,none,moderate
2025-05-06T20:33:06.294799,38.151798864232354,-85.59482588634624,38.14604906670923,-85.80307523548505,51,51,86,86,1.0,1528,25301,0,none,snow,arterial,none,low
2025-05-06T20:33:08.968946,38.26408035548111,-85.77005848010741,38.34580836816252,-85.73958711941188,103,103,72,72,1.0,1738,20656,0,none,snow,local,none,low
2025-05-06T20:33:11.968627,38.349859140430766,-85.60546765061531,38.13596590441792,-85.7193557616893,74,74,52,52,1.0,1699,33464,0,none,fog,highway,none,low
2025-05-06T20:33:14.920183,38.12326278874904,-85.68804776349867,38.34197651266467,-85.54795352848267,55,55,140,140,1.0,2077,39715,0,none,snow,arterial,none,low
2025-05-06T20:33:18.438720,38.25797014399044,-85.88601323323006,38.25366838307331,-85.56446003813,62,62,421,421,1.0,2041,36272,0,none,fog,highway,none,low
2025-05-06T20:33:21.540414,38.16669603945364,-85.8957265001864,38.27188739554119,-85.62821789671408,87,87,438,438,1.0,1506,33950,0,none,snow,arterial,none,low
2025-05-06T20:33:24.205552,38.1309918295365,-85.82902082080763,38.19769475508834,-85.74465637309592,56,56,239,239,1.0,1462,16137,0,none,clear,arterial,none,low
2025-05-06T20:33:27.209335,38.22963380428587,-85.82342822747617,38.23905261034937,-85.76599859973709,108,108,60,60,1.0,752,7776,0,none,clear,highway,none,low
2025-05-06T20:33:30.119916,38.34994358427018,-85.8508187195971,38.27528638751557,-85.59346654606937,107,107,107,107,1.0,1964,37703,0,none,rain,local,none,low
2025-05-06T20:33:32.856268,38.24058549249799,-85.86477719844945,38.308408217452175,-85.50801156860862,88,88,302,302,1.0,1989,42079,0,none,snow,local,none,low
2025-05-06T20:33:35.761270,38.22983592572118,-85.74486215199929,38.17350180135645,-85.76525749161253,44,44,67,67,1.0,712,8409,0,none,fog,arterial,none,low
2025-05-06T20:33:38.860375,38.20380983665516,-85.64897251098067,38.1440883561911,-85.90069038125934,51,51,171,171,1.0,1681,30510,0,none,rain,highway,none,low
2025-05-06T20:33:41.674727,38.28362459011851,-85.65956291578266,38.18548164063469,-85.58349435153569,107,107,178,178,1.0,1321,20596,0,none,snow,highway,none,low
2025-05-06T20:33:44.686255,38.2143223057751,-85.80292682212773,38.16239650536097,-85.88137286217328,40,53,174,131,0.99,670,9627,0,none,rain,local,none,high
2025-05-06T20:33:47.272117,38.3373731915223,-85.88649939856583,38.30317723319407,-85.7478842252547,68,87,52,41,1.0,1466,26135,0,none,snow,highway,none,moderate
2025-05-06T20:33:50.350371,38.28918173711004,-85.61179467826908,38.15844299372542,-85.71943769587,54,54,400,400,1.0,1298,23466,0,none,rain,arterial,none,low
2025-05-06T20:33:53.161087,38.19898978887562,-85.77700048922947,38.344809158664056,-85.86833772532508,48,48,93,93,1.0,1746,34174,0,none,fog,local,none,low
2025-05-06T20:33:56.210665,38.1491903151011,-85.91159308971893,38.34894960518479,-85.58561762895653,85,85,448,448,1.0,2504,55054,0,none,snow,highway,none,low
2025-05-06T20:33:59.484075,38.23065659610656,-85.55711814556433,38.211428185789615,-85.76691832574757,113,113,111,111,1.0,1456,24122,0,none,rain,local,none,low
2025-05-06T20:34:02.230585,38.21605088332626,-85.78603067985607,38.23645117923129,-85.75419212059066,62,62,188,188,1.0,718,4981,0,none,snow,local,none,low
2025-05-06T20:34:05.050812,38.120293647292605,-85.56370635994303,38.20150975934399,-85.64791686029207,90,90,157,157,1.0,1091,13429,0,none,rain,arterial,none,low
